iter	Passed	Remaining
667	3063	1522
668	3069	1518
669	3080	1517
670	3084	1512
671	3089	1508
672	3094	1503
673	3098	1498
674	3103	1494
675	3109	1490
676	3112	1485
677	3117	1480
678	3123	1476
679	3127	1471
680	3131	1467
681	3137	1462
682	3142	1458
683	3146	1453
684	3153	1450
685	3158	1445
686	3163	1441
687	3169	1437
688	3173	1432
689	3177	1427
690	3182	1423
691	3188	1419
692	3192	1414
693	3196	1409
694	3202	1405
695	3206	1400
696	3210	1395
697	3217	1392
698	3221	1387
699	3225	1382
700	3236	1380
701	3239	1375
702	3243	1370
703	3249	1366
704	3253	1361
705	3256	1355
706	3260	1351
707	3265	1346
708	3269	1341
709	3272	1336
710	3280	1333
711	3284	1328
712	3288	1323
713	3293	1319
714	3300	1315
715	3303	1310
716	3307	1305
717	3312	1301
718	3316	1296
719	3320	1291
720	3325	1287
721	3330	1282
722	3334	1277
723	3339	1272
724	3345	1268
725	3349	1263
726	3352	1259
727	3359	1255
728	3363	1250
729	3367	1245
730	3375	1242
731	3380	1237
732	3384	1232
733	3392	1229
734	3396	1224
735	3400	1219
736	3407	1215
737	3410	1210
738	3414	1205
739	3419	1201
740	3425	1197
741	3428	1192
742	3432	1187
743	3439	1183
744	3443	1178
745	3447	1173
746	3453	1169
747	3458	1165
748	3462	1160
749	3467	1155
750	3473	1151
751	3478	1147
752	3484	1142
753	3489	1138
754	3492	1133
755	3496	1128
756	3504	1124
757	3507	1119
758	3511	1115
759	3518	1111
760	3521	1106
761	3525	1101
762	3529	1096
763	3536	1092
764	3540	1087
765	3544	1082
766	3552	1079
767	3557	1074
768	3564	1070
769	3570	1066
770	3574	1061
771	3581	1057
772	3587	1053
773	3595	1049
774	3601	1045
775	3606	1041
776	3612	1036
777	3616	1031
778	3620	1027
779	3624	1022
780	3629	1017
781	3633	1013
782	3637	1008
783	3642	1003
784	3648	999
785	3652	994
786	3655	989
787	3661	985
788	3665	980
789	3669	975
790	3672	970
791	3677	965
792	3680	960
793	3683	955
794	3686	950
795	3692	946
796	3695	941
797	3698	936
798	3702	931
799	3707	926
800	3711	922
801	3714	917
802	3717	912
803	3723	907
804	3726	902
805	3729	897
806	3733	892
807	3738	888
808	3741	883
809	3745	878
810	3748	873
811	3754	869
812	3757	864
813	3760	859
814	3763	854
815	3768	849
816	3772	844
817	3775	840
818	3778	835
819	3785	831
820	3789	826
821	3792	821
822	3795	816
823	3801	812
824	3806	807
825	3809	802
826	3813	797
827	3819	793
828	3822	788
829	3826	783
830	3829	778
831	3834	774
832	3837	769
833	3840	764
834	3844	759
835	3849	755
836	3852	750
837	3856	745
838	3859	740
839	3864	736
840	3867	731
841	3871	726
842	3876	722
843	3882	717
844	3885	712
845	3888	707
846	3891	702
847	3896	698
848	3899	693
849	3902	688
850	3905	683
851	3910	679
852	3914	674
853	3917	669
854	3920	664
855	3924	660
856	3928	655
857	3932	650
858	3935	645
859	3938	641
860	3944	636
861	3948	632
862	3951	627
863	3956	622
864	3961	618
865	3964	613
866	3967	608
867	3970	603
868	3976	599
869	3979	594
870	3982	589
871	3986	585
872	3991	580
873	3994	575
874	3997	571
875	4000	566
876	4006	561
877	4010	557
878	4013	552
879	4016	547
880	4021	543
881	4024	538
882	4027	533
883	4030	528
884	4034	524
885	4039	519
886	4041	514
887	4045	510
888	4049	505
889	4054	501
890	4057	496
891	4060	491
892	4063	486
893	4069	482
894	4072	477
895	4075	473
896	4079	468
897	4084	463
898	4087	459
899	4091	454
900	4095	449
901	4100	445
902	4103	440
903	4106	436
904	4110	431
905	4115	427
906	4119	422
907	4122	417
908	4125	413
909	4131	408
910	4134	403
911	4137	399
912	4140	394
913	4145	390
914	4149	385
915	4153	380
916	4156	376
917	4164	372
918	4168	367
919	4171	362
920	4175	358
921	4179	353
922	4183	348
923	4186	344
924	4189	339
925	4195	335
926	4198	330
927	4201	325
928	4204	321
929	4210	316
930	4213	312
931	4216	307
932	4219	303
933	4225	298
934	4228	293
935	4231	289
936	4235	284
937	4239	280
938	4243	275
939	4246	271
940	4250	266
941	4255	261
942	4259	257
943	4262	252
944	4265	248
945	4270	243
946	4273	239
947	4276	234
948	4280	230
949	4285	225
950	4289	221
951	4292	216
952	4297	211
953	4303	207
954	4307	202
955	4311	198
956	4317	194
957	4322	189
958	4325	184
959	4329	180
960	4334	175
961	4338	171
962	4341	166
963	4346	162
964	4353	157
965	4357	153
966	4363	148
967	4367	144
968	4371	139
969	4374	135
970	4381	130
971	4385	126
972	4388	121
973	4394	117
